	Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
133	GO_Biological_Process_2023	Positive Regulation Of Signal Transduction (GO:0009967)	4/266	0.0098628642288233	0.0454869409956183	0	0	5.09121490490361	23.51621301354472	C3;F7;VTN;TNXB
134	GO_Biological_Process_2023	Positive Regulation Of Apoptotic Process (GO:0043065)	4/270	0.0103763443250037	0.047238232111408	0	0	5.013635784376195	22.903424592375305	IGFBP3;CLU;KNG1;GPLD1
135	GO_Biological_Process_2023	Positive Regulation Of Transferase Activity (GO:0051347)	3/143	0.0103954685552613	0.047238232111408	0	0	7.070357142857143	32.285974807128454	APOA2;APOA1;APOA4
136	GO_Biological_Process_2023	Regulation Of Cell Adhesion (GO:0030155)	3/144	0.0105931517817337	0.0477851664314706	0	0	7.019858156028369	31.923138723531668	VTN;TNXB;KNG1
137	GO_Biological_Process_2023	Positive Regulation Of Transport (GO:0051050)	2/50	0.0108545013893802	0.0481911059089306	0	0	13.585382513661202	61.44906812714711	PON1;GPLD1
138	GO_Biological_Process_2023	Positive Regulation Of Cell Death (GO:0010942)	2/50	0.0108545013893802	0.0481911059089306	0	0	13.585382513661202	61.44906812714711	HPR;CLU
139	GO_Biological_Process_2023	Negative Regulation Of Response To External Stimulus (GO:0032102)	3/146	0.0109950581442705	0.0481911059089306	0	0	6.920979020979021	31.215756505352548	APCS;PROC;APOA1
140	GO_Biological_Process_2023	Positive Regulation Of Cellular Catabolic Process (GO:0031331)	3/146	0.0109950581442705	0.0481911059089306	0	0	6.920979020979021	31.215756505352548	APOC2;APOA4;GPLD1
141	GO_Biological_Process_2023	Regulation Of Proteolysis (GO:0030162)	2/52	0.0117022207105141	0.0509293830922378	0	0	13.04065573770492	58.00453223336539	F2;KNG1
142	GO_Biological_Process_2023	Regulation Of Bone Mineralization (GO:0030500)	2/58	0.0144130287799077	0.0622884740278532	0	0	11.63992974238876	49.34891042138048	ECM1;AHSG
143	GO_Biological_Process_2023	Regulation Of Cell Death (GO:0010941)	2/59	0.014888788971931	0.0636398104110342	0	0	11.435145240149554	48.109334329905494	HPR;CLU
144	GO_Biological_Process_2023	C-terminal Protein Lipidation (GO:0006501)	1/5	0.0156525100040084	0.0636398104110342	0	0	80.375	334.1288407937727	GPLD1
145	GO_Biological_Process_2023	Positive Regulation Of Lipoprotein Particle Clearance (GO:0010986)	1/5	0.0156525100040084	0.0636398104110342	0	0	80.375	334.1288407937727	GPLD1
146	GO_Biological_Process_2023	Regulation Of Establishment Of T Cell Polarity (GO:1903903)	1/5	0.0156525100040084	0.0636398104110342	0	0	80.375	334.1288407937727	GSN
147	GO_Biological_Process_2023	Protein Import (GO:0017038)	1/5	0.0156525100040084	0.0636398104110342	0	0	80.375	334.1288407937727	CLU
148	GO_Biological_Process_2023	Cell Junction Disassembly (GO:0150146)	1/5	0.0156525100040084	0.0636398104110342	0	0	80.375	334.1288407937727	C1QB
